LKOH;D;19/08/22;00:00;3935.5000000;3974.0000000;3894.0000000;3972.0000000;378100
LKOH;D;22/08/22;00:00;3968.0000000;4028.5000000;3944.5000000;4017.0000000;395759
LKOH;D;23/08/22;00:00;4023.0000000;4099.0000000;4016.0000000;4098.0000000;400005
LKOH;D;24/08/22;00:00;4104.0000000;4128.0000000;4066.0000000;4117.0000000;305387
LKOH;D;25/08/22;00:00;4122.5000000;4143.5000000;4047.0000000;4055.0000000;402007
LKOH;D;26/08/22;00:00;4060.0000000;4115.0000000;4046.5000000;4115.0000000;279717
LKOH;D;29/08/22;00:00;4110.5000000;4207.0000000;4088.5000000;4186.0000000;450055
LKOH;D;30/08/22;00:00;4197.5000000;4220.0000000;4120.0000000;4140.0000000;492383
LKOH;D;31/08/22;00:00;4290.0000000;4300.0000000;4161.5000000;4270.0000000;1275668
LKOH;D;01/09/22;00:00;4250.5000000;4773.0000000;4221.0000000;4722.0000000;2447831
LKOH;D;02/09/22;00:00;4661.0000000;4714.5000000;4556.0000000;4595.0000000;1752377
LKOH;D;05/09/22;00:00;4620.0000000;4690.0000000;4483.0000000;4658.0000000;1124415
LKOH;D;06/09/22;00:00;4660.0000000;4666.5000000;4410.5000000;4545.0000000;1090300
LKOH;D;07/09/22;00:00;4542.0000000;4542.0000000;4420.0000000;4420.0000000;805353
LKOH;D;08/09/22;00:00;4400.0000000;4432.5000000;4376.0000000;4410.0000000;423825
LKOH;D;09/09/22;00:00;4429.5000000;4500.0000000;4401.5000000;4470.0000000;514328
LKOH;D;12/09/22;00:00;4460.0000000;4591.5000000;4426.5000000;4560.0000000;617887
LKOH;D;13/09/22;00:00;4570.0000000;4588.5000000;4510.0000000;4542.5000000;410899
LKOH;D;14/09/22;00:00;4532.0000000;4548.0000000;4403.5000000;4472.0000000;794850
LKOH;D;15/09/22;00:00;4470.5000000;4558.0000000;4436.0000000;4530.0000000;603254
LKOH;D;16/09/22;00:00;4537.5000000;4580.0000000;4475.0000000;4519.0000000;477618
LKOH;D;19/09/22;00:00;4520.0000000;4548.0000000;4445.0000000;4496.0000000;349836
LKOH;D;20/09/22;00:00;4477.0000000;4494.0000000;3830.0000000;4055.0000000;2617746
LKOH;D;21/09/22;00:00;3622.5000000;4044.0000000;3622.5000000;3955.0000000;1473839
LKOH;D;22/09/22;00:00;3951.5000000;4095.5000000;3951.5000000;4011.0000000;729792
LKOH;D;23/09/22;00:00;4014.0000000;4037.0000000;3875.0000000;3948.5000000;952243
LKOH;D;26/09/22;00:00;3856.0000000;3882.0000000;3605.5000000;3708.0000000;1474555
LKOH;D;27/09/22;00:00;3786.5000000;3924.0000000;3715.0000000;3865.0000000;817686
LKOH;D;28/09/22;00:00;3839.5000000;3967.0000000;3806.5000000;3907.5000000;659043
LKOH;D;29/09/22;00:00;3942.0000000;3958.0000000;3809.0000000;3882.5000000;752363
LKOH;D;30/09/22;00:00;3897.5000000;4088.0000000;3750.0000000;3965.0000000;851600
LKOH;D;03/10/22;00:00;3980.0000000;4092.0000000;3912.5000000;4077.0000000;543431
LKOH;D;04/10/22;00:00;4098.0000000;4140.0000000;3961.5000000;4094.0000000;672413
LKOH;D;05/10/22;00:00;4086.0000000;4189.0000000;4000.0000000;4102.5000000;827000
LKOH;D;06/10/22;00:00;4116.0000000;4158.0000000;4010.0000000;4041.0000000;472546
LKOH;D;07/10/22;00:00;4024.0000000;4030.0000000;3850.0000000;3875.0000000;576064
LKOH;D;10/10/22;00:00;3778.0000000;4069.0000000;3757.0000000;4035.0000000;824990
LKOH;D;11/10/22;00:00;4040.0000000;4188.0000000;4012.5000000;4170.0000000;664524
LKOH;D;12/10/22;00:00;4184.0000000;4280.0000000;4135.0000000;4149.0000000;796900
LKOH;D;13/10/22;00:00;4150.0000000;4261.5000000;4118.0000000;4185.5000000;635612
LKOH;D;14/10/22;00:00;4199.0000000;4203.0000000;4090.0000000;4139.0000000;484858
LKOH;D;17/10/22;00:00;4150.0000000;4220.0000000;4113.0000000;4212.5000000;515136
LKOH;D;18/10/22;00:00;4250.0000000;4359.0000000;4207.0000000;4240.0000000;759619
LKOH;D;19/10/22;00:00;4211.0000000;4277.0000000;4106.5000000;4204.5000000;931135
LKOH;D;20/10/22;00:00;4215.0000000;4400.0000000;4180.5000000;4380.5000000;1048956
LKOH;D;21/10/22;00:00;4399.0000000;4462.0000000;4350.5000000;4433.0000000;851650
LKOH;D;24/10/22;00:00;4474.0000000;4491.0000000;4385.5000000;4439.5000000;629383
LKOH;D;25/10/22;00:00;4465.0000000;4579.5000000;4436.0000000;4569.5000000;649858
